"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1021.3","1025.0","16.7","13.6","82","2.8","110","8.3","90","0.0","0.0","--","0.00","--","0","--"
"02","1020.9","1024.5","17.2","13.1","77","2.8","110","8.9","100","0.0","0.0","--","0.00","--","0","--"
"03","1020.7","1024.3","17.2","13.1","77","2.9","100","7.4","140","0.0","0.0","--","0.00","--","0","--"
"04","1020.6","1024.2","17.1","12.8","76","2.6","100","8.1","100","0.0","0.0","--","0.00","--","0","--"
"05","1021.1","1024.8","17.1","12.8","76","3.2","100","8.0","110","0.0","0.0","--","0.00","--","0","--"
"06","1021.6","1025.3","16.9","13.2","79","2.9","120","7.2","100","0.0","0.0","0.0","0.00","--","0","--"
"07","1022.2","1025.9","16.2","13.9","86","2.5","130","7.1","100","T","0.2","0.0","0.01","--","0","--"
"08","1022.5","1026.2","16.6","13.9","84","2.3","120","6.7","90","T","0.2","0.0","0.16","12.0","0","10.0"
"09","1022.9","1026.6","17.4","13.3","77","3.7","120","8.0","120","0.0","0.0","0.0","0.44","13.0","1","10.0"
"10","1022.6","1026.2","17.9","13.4","75","2.9","110","7.3","120","0.0","0.0","0.0","0.60","--","2","--"
"11","1022.0","1025.6","18.6","13.3","71","3.1","130","8.3","120","0.0","0.0","0.0","0.99","13.0","3","10.0"
"12","1020.7","1024.3","18.5","13.4","72","4.0","110","9.5","80","0.0","0.0","0.0","1.30","--","4","--"
"13","1019.9","1023.5","18.4","13.3","72","3.5","100","10.5","100","0.0","0.0","0.0","0.84","--","3","--"
"14","1019.4","1023.0","17.5","13.6","78","2.9","100","10.0","110","T","0.9","0.0","0.58","30.0","2","10.0"
"15","1019.2","1022.8","17.1","14.2","83","3.2","110","9.8","100","T","0.5","0.0","0.34","--","1","--"
"16","1019.6","1023.2","17.1","13.4","79","3.2","90","9.0","100","0.0","0.0","0.0","0.18","--","0","--"
"17","1020.0","1023.6","17.1","12.8","76","4.2","100","10.1","80","0.0","0.0","0.0","0.06","15.0","0","10.0"
"18","1021.0","1024.7","16.6","13.0","79","2.9","110","11.4","80","0.0","0.0","0.0","0.00","--","0","--"
"19","1021.5","1025.2","16.4","13.1","81","3.7","100","9.6","80","0.0","0.0","0.0","0.00","--","0","--"
"20","1022.1","1025.8","16.1","13.4","84","2.5","110","8.7","90","0.0","0.0","--","0.00","--","0","--"
"21","1022.6","1026.3","16.1","13.4","84","2.7","100","7.2","80","0.0","0.0","--","0.00","--","0","--"
"22","1022.8","1026.5","16.0","13.3","84","2.3","110","7.6","80","0.0","0.0","--","0.00","--","0","--"
"23","1022.8","1026.5","15.9","13.2","84","2.2","110","6.9","90","0.0","0.0","--","0.00","--","0","--"
"24","1022.9","1026.6","15.8","12.9","83","2.0","100","6.3","100","0.0","0.0","--","0.00","--","0","--"
