"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","紫外線指數"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","UVI"
"01","1017.2","1020.9","16.0","8.5","61","2.8","130","8.7","130","0.0","0.0","--","0.00","0"
"02","1016.6","1020.2","16.1","8.8","62","2.2","150","7.7","120","0.0","0.0","--","0.00","0"
"03","1016.3","1019.9","16.3","9.0","62","2.0","110","5.6","140","0.0","0.0","--","0.00","0"
"04","1015.8","1019.4","16.2","9.2","63","2.4","100","5.6","90","0.0","0.0","--","0.00","0"
"05","1015.8","1019.4","16.5","10.1","66","3.2","110","8.5","100","0.0","0.0","--","0.00","0"
"06","1016.4","1020.0","16.6","10.7","68","2.9","110","9.8","90","0.0","0.0","0.0","0.00","0"
"07","1016.4","1020.0","16.6","10.9","69","2.9","110","6.5","130","0.0","0.0","0.0","0.02","0"
"08","1016.7","1020.3","17.0","11.3","69","3.9","120","8.7","120","0.0","0.0","0.0","0.22","0"
"09","1016.9","1020.5","17.4","11.2","67","2.7","120","9.2","130","0.0","0.0","0.0","0.28","1"
"10","1016.7","1020.3","17.6","12.3","71","3.6","120","9.2","100","T","0.1","0.0","0.44","1"
"11","1016.3","1019.9","17.1","13.4","79","2.4","120","8.3","120","T","0.4","0.0","0.47","2"
"12","1015.3","1018.9","16.2","14.0","87","2.9","100","7.9","100","T","0.7","0.0","0.51","2"
"13","1014.0","1017.6","16.7","14.2","85","3.2","100","8.6","100","T","0.1","0.0","0.54","2"
"14","1013.5","1017.1","16.9","13.8","82","2.9","100","10.0","80","0.0","0.0","0.0","0.59","2"
"15","1013.5","1017.1","16.3","14.5","89","3.2","100","9.6","90","0.5","0.4","0.0","0.36","1"
"16","1013.6","1017.2","16.2","14.4","89","3.8","100","9.8","100","T","0.2","0.0","0.13","0"
"17","1013.8","1017.4","15.9","14.8","93","2.9","100","8.7","90","T","0.7","0.0","0.06","0"
"18","1014.3","1017.9","16.2","14.7","91","3.1","100","8.3","90","0.5","0.3","0.0","0.00","0"
"19","1014.5","1018.1","16.2","15.1","93","3.4","100","9.5","100","T","0.7","0.0","0.00","0"
"20","1015.3","1018.9","16.4","15.3","93","2.8","100","7.9","90","0.5","0.7","--","0.00","0"
"21","1015.2","1018.8","16.3","15.5","95","2.9","100","6.1","90","2.0","1.0","--","0.00","0"
"22","1015.3","1018.9","16.4","15.8","96","2.1","130","7.6","80","2.5","1.0","--","0.00","0"
"23","1014.9","1018.5","16.6","16.0","96","1.5","110","5.0","160","1.5","0.9","--","0.00","0"
"24","1014.7","1018.3","16.6","16.0","96","1.6","90","5.0","80","0.5","0.8","--","0.00","0"
