origin,destination,distance_km,duration_min,origin_sno,destination_sno
YouBike2.0_辛亥復興路口西北側,YouBike2.0_新生南路三段52號前,1.143,4.3,500101005.0,500101008.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_新生南路三段66號前,1.296,4.8,500101005.0,500101009.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_新生南路三段82號前,1.39,5.1,500101005.0,500101010.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_銘傳國小側門,1.688,8.4,500101005.0,500101021.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_捷運公館站(2號出口),1.66,6.2,500101005.0,500101022.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_第二學生活動中心,1.868,7.0,500101005.0,500101023.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺灣科技大學正門,1.22,5.7,500101005.0,500101024.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺灣科技大學側門,1.48,6.4,500101005.0,500101025.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大男七舍前,1.117,5.1,500101005.0,500101031.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大男一舍前,0.919,4.5,500101005.0,500101032.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大男六舍前,0.888,4.3,500101005.0,500101033.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大動物醫院前,1.013,4.5,500101005.0,500101034.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大萬才館前,0.283,1.6,500101005.0,500101036.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大國青大樓宿舍前,0.191,1.4,500101005.0,500101037.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大社科院圖書館前,0.126,0.6,500101005.0,500101038.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大法人語言訓練中心前,0.33,1.2,500101005.0,500101039.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大綜合體育館停車場前,0.823,2.6,500101005.0,500101040.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_辛亥新生路口東南側,0.991,3.8,500101005.0,500101041.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_基隆長興路口東側,0.765,3.3,500101005.0,500101042.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_捷運公館站(3號出口),1.877,7.0,500101005.0,500101181.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_新生南路三段94巷口,1.559,5.6,500101005.0,500101184.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_基隆長興路口,0.809,3.9,500101005.0,500101193.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大資訊大樓,0.258,1.0,500101005.0,500101209.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_捷運公館站(1號出口),1.987,6.9,500101005.0,500106003.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_捷運公館站(4號出口),1.905,6.7,500101005.0,500106004.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大男八舍東側,0.765,4.0,500101005.0,500119043.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大禮賢樓東南側,1.504,5.3,500101005.0,500119044.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大農業陳列館北側,1.352,4.9,500101005.0,500119045.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大管理學院二館北側,1.631,7.2,500101005.0,500119046.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大土木系館,0.969,4.1,500101005.0,500119047.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大大一女舍北側,1.603,5.6,500101005.0,500119048.0
YouBike2.0_辛亥復興路口西北側,YouBike2.0_臺大女九舍西南側,0.651,2.8,500101005.0,500119049.0
