Unnamed: 0,station,date,hour,borrow_count,return_count
41158,辛亥復興路口西北側,2024-05-01,0,1.0,0.0
41159,辛亥復興路口西北側,2024-05-01,1,0.0,2.0
41160,辛亥復興路口西北側,2024-05-01,5,1.0,0.0
41161,辛亥復興路口西北側,2024-05-01,7,6.0,11.0
41162,辛亥復興路口西北側,2024-05-01,8,20.0,13.0
41163,辛亥復興路口西北側,2024-05-01,9,11.0,10.0
41164,辛亥復興路口西北側,2024-05-01,10,12.0,8.0
41165,辛亥復興路口西北側,2024-05-01,11,9.0,20.0
41166,辛亥復興路口西北側,2024-05-01,12,22.0,20.0
41167,辛亥復興路口西北側,2024-05-01,13,28.0,23.0
41168,辛亥復興路口西北側,2024-05-01,14,17.0,12.0
41169,辛亥復興路口西北側,2024-05-01,15,3.0,13.0
41170,辛亥復興路口西北側,2024-05-01,16,2.0,3.0
41171,辛亥復興路口西北側,2024-05-01,17,5.0,5.0
41172,辛亥復興路口西北側,2024-05-01,18,19.0,18.0
41173,辛亥復興路口西北側,2024-05-01,19,6.0,4.0
41174,辛亥復興路口西北側,2024-05-01,20,8.0,8.0
41175,辛亥復興路口西北側,2024-05-01,21,6.0,7.0
41176,辛亥復興路口西北側,2024-05-01,22,3.0,7.0
41177,辛亥復興路口西北側,2024-05-01,23,0.0,1.0
41178,辛亥復興路口西北側,2024-05-02,0,1.0,1.0
41179,辛亥復興路口西北側,2024-05-02,3,0.0,1.0
41180,辛亥復興路口西北側,2024-05-02,7,3.0,5.0
41181,辛亥復興路口西北側,2024-05-02,8,13.0,9.0
41182,辛亥復興路口西北側,2024-05-02,9,15.0,10.0
41183,辛亥復興路口西北側,2024-05-02,10,7.0,11.0
41184,辛亥復興路口西北側,2024-05-02,11,14.0,17.0
41185,辛亥復興路口西北側,2024-05-02,12,39.0,37.0
41186,辛亥復興路口西北側,2024-05-02,13,23.0,26.0
41187,辛亥復興路口西北側,2024-05-02,14,11.0,14.0
41188,辛亥復興路口西北側,2024-05-02,15,13.0,8.0
41189,辛亥復興路口西北側,2024-05-02,16,12.0,10.0
41190,辛亥復興路口西北側,2024-05-02,17,32.0,36.0
41191,辛亥復興路口西北側,2024-05-02,18,27.0,23.0
41192,辛亥復興路口西北側,2024-05-02,19,21.0,21.0
41193,辛亥復興路口西北側,2024-05-02,20,7.0,10.0
41194,辛亥復興路口西北側,2024-05-02,21,10.0,7.0
41195,辛亥復興路口西北側,2024-05-02,22,2.0,3.0
41196,辛亥復興路口西北側,2024-05-02,23,2.0,2.0
41197,辛亥復興路口西北側,2024-05-03,0,1.0,1.0
41198,辛亥復興路口西北側,2024-05-03,1,1.0,0.0
41199,辛亥復興路口西北側,2024-05-03,2,0.0,1.0
41200,辛亥復興路口西北側,2024-05-03,4,1.0,0.0
41201,辛亥復興路口西北側,2024-05-03,7,8.0,13.0
41202,辛亥復興路口西北側,2024-05-03,8,23.0,15.0
41203,辛亥復興路口西北側,2024-05-03,9,15.0,13.0
41204,辛亥復興路口西北側,2024-05-03,10,14.0,11.0
41205,辛亥復興路口西北側,2024-05-03,11,9.0,11.0
41206,辛亥復興路口西北側,2024-05-03,12,34.0,31.0
41207,辛亥復興路口西北側,2024-05-03,13,19.0,19.0
41208,辛亥復興路口西北側,2024-05-03,14,9.0,14.0
41209,辛亥復興路口西北側,2024-05-03,15,7.0,12.0
41210,辛亥復興路口西北側,2024-05-03,16,14.0,14.0
41211,辛亥復興路口西北側,2024-05-03,17,19.0,15.0
41212,辛亥復興路口西北側,2024-05-03,18,21.0,20.0
41213,辛亥復興路口西北側,2024-05-03,19,20.0,26.0
41214,辛亥復興路口西北側,2024-05-03,20,12.0,9.0
41215,辛亥復興路口西北側,2024-05-03,21,7.0,7.0
41216,辛亥復興路口西北側,2024-05-03,22,3.0,5.0
41217,辛亥復興路口西北側,2024-05-03,23,5.0,4.0
41218,辛亥復興路口西北側,2024-05-04,0,1.0,1.0
41219,辛亥復興路口西北側,2024-05-04,1,1.0,1.0
41220,辛亥復興路口西北側,2024-05-04,2,0.0,2.0
41221,辛亥復興路口西北側,2024-05-04,6,3.0,2.0
41222,辛亥復興路口西北側,2024-05-04,7,5.0,5.0
41223,辛亥復興路口西北側,2024-05-04,8,11.0,8.0
41224,辛亥復興路口西北側,2024-05-04,9,8.0,8.0
41225,辛亥復興路口西北側,2024-05-04,10,6.0,11.0
41226,辛亥復興路口西北側,2024-05-04,11,15.0,13.0
41227,辛亥復興路口西北側,2024-05-04,12,13.0,22.0
41228,辛亥復興路口西北側,2024-05-04,13,28.0,12.0
41229,辛亥復興路口西北側,2024-05-04,14,10.0,9.0
41230,辛亥復興路口西北側,2024-05-04,15,5.0,12.0
41231,辛亥復興路口西北側,2024-05-04,16,10.0,10.0
41232,辛亥復興路口西北側,2024-05-04,17,11.0,16.0
41233,辛亥復興路口西北側,2024-05-04,18,22.0,19.0
41234,辛亥復興路口西北側,2024-05-04,19,8.0,5.0
41235,辛亥復興路口西北側,2024-05-04,20,6.0,2.0
41236,辛亥復興路口西北側,2024-05-04,21,2.0,6.0
41237,辛亥復興路口西北側,2024-05-04,22,1.0,4.0
41238,辛亥復興路口西北側,2024-05-04,23,4.0,1.0
41239,辛亥復興路口西北側,2024-05-05,0,0.0,1.0
41240,辛亥復興路口西北側,2024-05-05,1,2.0,0.0
41241,辛亥復興路口西北側,2024-05-05,2,1.0,1.0
41242,辛亥復興路口西北側,2024-05-05,5,0.0,1.0
41243,辛亥復興路口西北側,2024-05-05,6,2.0,0.0
41244,辛亥復興路口西北側,2024-05-05,7,2.0,2.0
41245,辛亥復興路口西北側,2024-05-05,8,2.0,1.0
41246,辛亥復興路口西北側,2024-05-05,9,4.0,10.0
41247,辛亥復興路口西北側,2024-05-05,10,6.0,13.0
41248,辛亥復興路口西北側,2024-05-05,11,8.0,7.0
41249,辛亥復興路口西北側,2024-05-05,12,6.0,7.0
41250,辛亥復興路口西北側,2024-05-05,13,13.0,7.0
41251,辛亥復興路口西北側,2024-05-05,14,18.0,9.0
41252,辛亥復興路口西北側,2024-05-05,15,10.0,10.0
41253,辛亥復興路口西北側,2024-05-05,16,16.0,17.0
41254,辛亥復興路口西北側,2024-05-05,17,12.0,20.0
41255,辛亥復興路口西北側,2024-05-05,18,31.0,26.0
41256,辛亥復興路口西北側,2024-05-05,19,25.0,18.0
41257,辛亥復興路口西北側,2024-05-05,20,7.0,8.0
41258,辛亥復興路口西北側,2024-05-05,21,8.0,9.0
41259,辛亥復興路口西北側,2024-05-05,22,2.0,4.0
41260,辛亥復興路口西北側,2024-05-05,23,0.0,1.0
41261,辛亥復興路口西北側,2024-05-06,0,1.0,2.0
41262,辛亥復興路口西北側,2024-05-06,1,1.0,2.0
41263,辛亥復興路口西北側,2024-05-06,4,1.0,0.0
41264,辛亥復興路口西北側,2024-05-06,5,1.0,1.0
41265,辛亥復興路口西北側,2024-05-06,6,2.0,1.0
41266,辛亥復興路口西北側,2024-05-06,7,10.0,13.0
41267,辛亥復興路口西北側,2024-05-06,8,21.0,16.0
41268,辛亥復興路口西北側,2024-05-06,9,8.0,8.0
41269,辛亥復興路口西北側,2024-05-06,10,5.0,10.0
41270,辛亥復興路口西北側,2024-05-06,11,8.0,16.0
41271,辛亥復興路口西北側,2024-05-06,12,21.0,23.0
41272,辛亥復興路口西北側,2024-05-06,13,33.0,30.0
41273,辛亥復興路口西北側,2024-05-06,14,15.0,14.0
41274,辛亥復興路口西北側,2024-05-06,15,7.0,13.0
41275,辛亥復興路口西北側,2024-05-06,16,15.0,10.0
41276,辛亥復興路口西北側,2024-05-06,17,40.0,41.0
41277,辛亥復興路口西北側,2024-05-06,18,34.0,29.0
41278,辛亥復興路口西北側,2024-05-06,19,19.0,20.0
41279,辛亥復興路口西北側,2024-05-06,20,7.0,8.0
41280,辛亥復興路口西北側,2024-05-06,21,9.0,5.0
41281,辛亥復興路口西北側,2024-05-06,22,6.0,9.0
41282,辛亥復興路口西北側,2024-05-06,23,3.0,3.0
41283,辛亥復興路口西北側,2024-05-07,1,1.0,2.0
41284,辛亥復興路口西北側,2024-05-07,3,1.0,0.0
41285,辛亥復興路口西北側,2024-05-07,6,1.0,2.0
41286,辛亥復興路口西北側,2024-05-07,7,11.0,16.0
41287,辛亥復興路口西北側,2024-05-07,8,29.0,19.0
41288,辛亥復興路口西北側,2024-05-07,9,17.0,10.0
41289,辛亥復興路口西北側,2024-05-07,10,9.0,9.0
41290,辛亥復興路口西北側,2024-05-07,11,16.0,14.0
41291,辛亥復興路口西北側,2024-05-07,12,27.0,21.0
41292,辛亥復興路口西北側,2024-05-07,13,21.0,22.0
41293,辛亥復興路口西北側,2024-05-07,14,12.0,9.0
41294,辛亥復興路口西北側,2024-05-07,15,8.0,16.0
41295,辛亥復興路口西北側,2024-05-07,16,10.0,7.0
41296,辛亥復興路口西北側,2024-05-07,17,32.0,37.0
41297,辛亥復興路口西北側,2024-05-07,18,27.0,30.0
41298,辛亥復興路口西北側,2024-05-07,19,18.0,20.0
41299,辛亥復興路口西北側,2024-05-07,20,9.0,12.0
41300,辛亥復興路口西北側,2024-05-07,21,8.0,5.0
41301,辛亥復興路口西北側,2024-05-07,22,2.0,3.0
41302,辛亥復興路口西北側,2024-05-07,23,3.0,6.0
41303,辛亥復興路口西北側,2024-05-08,0,0.0,1.0
41304,辛亥復興路口西北側,2024-05-08,1,0.0,1.0
41305,辛亥復興路口西北側,2024-05-08,2,0.0,1.0
41306,辛亥復興路口西北側,2024-05-08,4,1.0,0.0
41307,辛亥復興路口西北側,2024-05-08,5,1.0,1.0
41308,辛亥復興路口西北側,2024-05-08,6,2.0,2.0
41309,辛亥復興路口西北側,2024-05-08,7,10.0,13.0
41310,辛亥復興路口西北側,2024-05-08,8,22.0,17.0
41311,辛亥復興路口西北側,2024-05-08,9,22.0,14.0
41312,辛亥復興路口西北側,2024-05-08,10,6.0,12.0
41313,辛亥復興路口西北側,2024-05-08,11,14.0,15.0
41314,辛亥復興路口西北側,2024-05-08,12,27.0,30.0
41315,辛亥復興路口西北側,2024-05-08,13,19.0,11.0
41316,辛亥復興路口西北側,2024-05-08,14,11.0,15.0
41317,辛亥復興路口西北側,2024-05-08,15,6.0,6.0
41318,辛亥復興路口西北側,2024-05-08,16,5.0,8.0
41319,辛亥復興路口西北側,2024-05-08,17,25.0,32.0
41320,辛亥復興路口西北側,2024-05-08,18,33.0,33.0
41321,辛亥復興路口西北側,2024-05-08,19,28.0,22.0
41322,辛亥復興路口西北側,2024-05-08,20,10.0,10.0
41323,辛亥復興路口西北側,2024-05-08,21,5.0,5.0
41324,辛亥復興路口西北側,2024-05-08,22,2.0,6.0
41325,辛亥復興路口西北側,2024-05-08,23,0.0,3.0
41326,辛亥復興路口西北側,2024-05-09,1,0.0,2.0
41327,辛亥復興路口西北側,2024-05-09,2,0.0,1.0
41328,辛亥復興路口西北側,2024-05-09,6,1.0,1.0
41329,辛亥復興路口西北側,2024-05-09,7,13.0,11.0
41330,辛亥復興路口西北側,2024-05-09,8,21.0,11.0
41331,辛亥復興路口西北側,2024-05-09,9,13.0,9.0
41332,辛亥復興路口西北側,2024-05-09,10,12.0,9.0
41333,辛亥復興路口西北側,2024-05-09,11,14.0,15.0
41334,辛亥復興路口西北側,2024-05-09,12,27.0,34.0
41335,辛亥復興路口西北側,2024-05-09,13,27.0,18.0
41336,辛亥復興路口西北側,2024-05-09,14,7.0,8.0
41337,辛亥復興路口西北側,2024-05-09,15,10.0,13.0
41338,辛亥復興路口西北側,2024-05-09,16,15.0,13.0
41339,辛亥復興路口西北側,2024-05-09,17,18.0,18.0
41340,辛亥復興路口西北側,2024-05-09,18,20.0,21.0
41341,辛亥復興路口西北側,2024-05-09,19,9.0,7.0
41342,辛亥復興路口西北側,2024-05-09,20,6.0,5.0
41343,辛亥復興路口西北側,2024-05-09,21,2.0,3.0
41344,辛亥復興路口西北側,2024-05-09,22,4.0,5.0
41345,辛亥復興路口西北側,2024-05-09,23,4.0,3.0
41346,辛亥復興路口西北側,2024-05-10,0,1.0,2.0
41347,辛亥復興路口西北側,2024-05-10,1,1.0,1.0
41348,辛亥復興路口西北側,2024-05-10,2,1.0,0.0
41349,辛亥復興路口西北側,2024-05-10,7,15.0,15.0
41350,辛亥復興路口西北側,2024-05-10,8,17.0,15.0
41351,辛亥復興路口西北側,2024-05-10,9,14.0,10.0
41352,辛亥復興路口西北側,2024-05-10,10,10.0,9.0
41353,辛亥復興路口西北側,2024-05-10,11,16.0,8.0
41354,辛亥復興路口西北側,2024-05-10,12,28.0,34.0
41355,辛亥復興路口西北側,2024-05-10,13,21.0,24.0
41356,辛亥復興路口西北側,2024-05-10,14,8.0,9.0
41357,辛亥復興路口西北側,2024-05-10,15,7.0,9.0
41358,辛亥復興路口西北側,2024-05-10,16,6.0,8.0
41359,辛亥復興路口西北側,2024-05-10,17,19.0,20.0
41360,辛亥復興路口西北側,2024-05-10,18,14.0,18.0
41361,辛亥復興路口西北側,2024-05-10,19,17.0,17.0
41362,辛亥復興路口西北側,2024-05-10,20,4.0,6.0
41363,辛亥復興路口西北側,2024-05-10,21,10.0,12.0
41364,辛亥復興路口西北側,2024-05-10,22,2.0,3.0
41365,辛亥復興路口西北側,2024-05-10,23,2.0,5.0
41366,辛亥復興路口西北側,2024-05-11,0,3.0,0.0
41367,辛亥復興路口西北側,2024-05-11,3,0.0,1.0
41368,辛亥復興路口西北側,2024-05-11,6,2.0,1.0
41369,辛亥復興路口西北側,2024-05-11,7,2.0,1.0
41370,辛亥復興路口西北側,2024-05-11,8,7.0,8.0
41371,辛亥復興路口西北側,2024-05-11,9,6.0,11.0
41372,辛亥復興路口西北側,2024-05-11,10,9.0,7.0
41373,辛亥復興路口西北側,2024-05-11,11,7.0,12.0
41374,辛亥復興路口西北側,2024-05-11,12,14.0,18.0
41375,辛亥復興路口西北側,2024-05-11,13,25.0,12.0
41376,辛亥復興路口西北側,2024-05-11,14,10.0,7.0
41377,辛亥復興路口西北側,2024-05-11,15,8.0,8.0
41378,辛亥復興路口西北側,2024-05-11,16,15.0,16.0
41379,辛亥復興路口西北側,2024-05-11,17,24.0,20.0
41380,辛亥復興路口西北側,2024-05-11,18,17.0,18.0
41381,辛亥復興路口西北側,2024-05-11,19,16.0,16.0
41382,辛亥復興路口西北側,2024-05-11,20,9.0,2.0
41383,辛亥復興路口西北側,2024-05-11,21,6.0,4.0
41384,辛亥復興路口西北側,2024-05-11,22,4.0,3.0
41385,辛亥復興路口西北側,2024-05-11,23,2.0,6.0
41386,辛亥復興路口西北側,2024-05-12,0,2.0,0.0
41387,辛亥復興路口西北側,2024-05-12,1,1.0,1.0
41388,辛亥復興路口西北側,2024-05-12,4,1.0,1.0
41389,辛亥復興路口西北側,2024-05-12,5,3.0,0.0
41390,辛亥復興路口西北側,2024-05-12,7,2.0,2.0
41391,辛亥復興路口西北側,2024-05-12,8,8.0,9.0
41392,辛亥復興路口西北側,2024-05-12,9,7.0,11.0
41393,辛亥復興路口西北側,2024-05-12,10,5.0,4.0
41394,辛亥復興路口西北側,2024-05-12,11,11.0,14.0
41395,辛亥復興路口西北側,2024-05-12,12,15.0,11.0
41396,辛亥復興路口西北側,2024-05-12,13,14.0,22.0
41397,辛亥復興路口西北側,2024-05-12,14,9.0,3.0
41398,辛亥復興路口西北側,2024-05-12,15,3.0,7.0
41399,辛亥復興路口西北側,2024-05-12,16,12.0,13.0
41400,辛亥復興路口西北側,2024-05-12,17,13.0,16.0
41401,辛亥復興路口西北側,2024-05-12,18,18.0,18.0
41402,辛亥復興路口西北側,2024-05-12,19,22.0,22.0
41403,辛亥復興路口西北側,2024-05-12,20,8.0,2.0
41404,辛亥復興路口西北側,2024-05-12,21,2.0,0.0
41405,辛亥復興路口西北側,2024-05-12,22,1.0,0.0
41406,辛亥復興路口西北側,2024-05-12,23,0.0,1.0
41407,辛亥復興路口西北側,2024-05-13,5,1.0,0.0
41408,辛亥復興路口西北側,2024-05-13,7,5.0,12.0
41409,辛亥復興路口西北側,2024-05-13,8,26.0,17.0
41410,辛亥復興路口西北側,2024-05-13,9,13.0,7.0
41411,辛亥復興路口西北側,2024-05-13,10,7.0,5.0
41412,辛亥復興路口西北側,2024-05-13,11,4.0,13.0
41413,辛亥復興路口西北側,2024-05-13,12,14.0,17.0
41414,辛亥復興路口西北側,2024-05-13,13,28.0,18.0
41415,辛亥復興路口西北側,2024-05-13,14,7.0,4.0
41416,辛亥復興路口西北側,2024-05-13,15,10.0,9.0
41417,辛亥復興路口西北側,2024-05-13,16,8.0,11.0
41418,辛亥復興路口西北側,2024-05-13,17,11.0,12.0
41419,辛亥復興路口西北側,2024-05-13,18,26.0,27.0
41420,辛亥復興路口西北側,2024-05-13,19,22.0,21.0
41421,辛亥復興路口西北側,2024-05-13,20,2.0,3.0
41422,辛亥復興路口西北側,2024-05-13,21,1.0,1.0
41423,辛亥復興路口西北側,2024-05-13,22,1.0,5.0
41424,辛亥復興路口西北側,2024-05-13,23,4.0,4.0
41425,辛亥復興路口西北側,2024-05-14,0,1.0,1.0
41426,辛亥復興路口西北側,2024-05-14,1,1.0,1.0
41427,辛亥復興路口西北側,2024-05-14,6,1.0,0.0
41428,辛亥復興路口西北側,2024-05-14,7,10.0,12.0
41429,辛亥復興路口西北側,2024-05-14,8,18.0,17.0
41430,辛亥復興路口西北側,2024-05-14,9,14.0,13.0
41431,辛亥復興路口西北側,2024-05-14,10,6.0,4.0
