日期,觀測時間(hour),測站氣壓(hPa),海平面氣壓(hPa),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),降水時數(h),全天空日射量(MJ/㎡),紫外線指數
2024-03-01,1,1020.6,1024.3,11.0,9.8,92,1.7,100,5.9,80,0.5,0.6,0.0,0
2024-03-01,2,1020.4,1024.1,11.2,10.3,94,1.7,80,6.1,90,T,0.2,0.0,0
2024-03-01,3,1020.2,1023.9,11.2,10.4,95,1.5,110,5.6,70,T,0.7,0.0,0
2024-03-01,4,1020.5,1024.2,11.1,10.5,96,1.6,100,5.0,90,0.5,1.0,0.0,0
2024-03-01,5,1020.1,1023.8,10.8,10.0,95,1.9,100,6.7,80,0.5,0.8,0.0,0
2024-03-01,6,1019.4,1023.1,10.9,10.1,95,2.5,100,7.1,110,T,0.3,0.0,0
2024-03-01,7,1019.8,1023.5,11.1,10.3,95,3.0,90,8.2,110,T,0.1,0.01,0
2024-03-01,8,1020.2,1023.9,11.5,10.2,92,2.9,90,8.1,80,T,0.1,0.05,0
2024-03-01,9,1020.4,1024.1,11.9,11.1,95,2.8,100,7.2,90,T,1.0,0.1,0
2024-03-01,10,1020.5,1024.2,12.0,11.4,96,1.7,120,7.1,100,1.0,1.0,0.18,1
2024-03-01,11,1020.3,1024.0,12.0,11.5,97,2.2,90,5.8,140,1.0,1.0,0.35,1
2024-03-01,12,1018.7,1022.4,12.0,10.7,92,3.5,90,7.8,110,T,1.0,0.55,2
2024-03-01,13,1017.8,1021.5,12.3,11.5,95,2.4,90,7.4,110,T,1.0,0.33,1
2024-03-01,14,1016.8,1020.5,12.0,11.5,97,2.3,90,7.6,60,0.5,1.0,0.21,1
2024-03-01,15,1016.4,1020.1,12.2,11.6,96,2.6,90,6.4,60,T,1.0,0.24,1
2024-03-01,16,1016.7,1020.4,12.2,11.7,97,1.9,80,5.9,50,0.5,1.0,0.15,0
2024-03-01,17,1017.1,1020.8,12.2,11.9,98,1.7,90,5.4,80,1.0,1.0,0.05,0
2024-03-01,18,1017.4,1021.1,12.4,11.8,96,2.3,90,5.6,80,T,1.0,0.01,0
2024-03-01,19,1017.8,1021.5,12.3,11.8,97,1.8,100,7.3,90,1.0,0.9,0.0,0
2024-03-01,20,1018.5,1022.2,12.4,12.1,98,1.3,90,6.5,100,0.5,0.8,0.0,0
2024-03-01,21,1018.5,1022.2,12.3,11.8,97,1.7,90,4.9,90,T,0.6,0.0,0
2024-03-01,22,1018.5,1022.2,12.4,11.9,97,1.4,90,4.8,100,0.5,0.3,0.0,0
2024-03-01,23,1018.6,1022.3,12.6,12.1,97,1.8,100,3.8,100,T,0.3,0.0,0
2024-03-01,24,1018.2,1021.9,12.5,12.0,97,1.6,100,4.1,70,T,0.8,0.0,0
2024-03-02,1,1017.8,1021.5,12.6,12.1,97,1.3,100,3.9,80,T,0.3,0.0,0
2024-03-02,2,1017.6,1021.3,12.6,12.1,97,1.5,120,4.1,80,T,0.2,0.0,0
2024-03-02,3,1017.8,1021.5,12.4,11.8,96,2.2,90,6.3,100,0.0,0.0,0.0,0
2024-03-02,4,1017.3,1021.0,12.4,11.5,94,2.0,90,6.6,70,0.0,0.0,0.0,0
2024-03-02,5,1017.4,1021.1,12.5,11.6,94,2.1,100,6.7,80,0.0,0.0,0.0,0
2024-03-02,6,1017.5,1021.2,12.4,11.6,95,2.2,90,7.5,100,0.0,0.0,0.0,0
2024-03-02,7,1017.2,1020.9,12.6,11.7,94,3.7,90,8.3,70,0.0,0.0,0.08,0
2024-03-02,8,1017.6,1021.3,13.4,11.6,89,3.0,90,8.3,80,0.0,0.0,0.38,0
2024-03-02,9,1017.2,1020.9,14.9,11.9,82,4.1,90,9.7,90,0.0,0.0,1.32,2
2024-03-02,10,1017.3,1021.0,15.0,11.8,81,3.4,100,10.6,80,0.0,0.0,1.1,2
2024-03-02,11,1017.3,1021.0,14.9,11.9,82,3.3,90,10.4,80,0.0,0.0,0.44,1
2024-03-02,12,1016.7,1020.4,15.1,12.1,82,3.2,80,9.4,70,0.0,0.0,0.32,1
2024-03-02,13,1015.9,1019.6,14.7,12.6,87,3.2,80,10.6,100,T,0.3,0.36,1
2024-03-02,14,1015.3,1019.0,14.1,13.2,94,2.7,90,7.7,80,T,1.0,0.24,1
2024-03-02,15,1014.9,1018.6,14.2,13.4,95,2.2,110,7.4,90,T,1.0,0.18,1
2024-03-02,16,1014.3,1018.0,14.8,13.5,92,2.7,100,7.8,90,T,0.5,0.49,1
2024-03-02,17,1014.3,1018.0,14.9,13.8,93,2.6,90,8.4,80,0.0,0.0,0.41,1
2024-03-02,18,1014.1,1017.8,14.9,13.9,94,3.4,90,9.2,80,0.0,0.0,0.09,0
2024-03-02,19,1013.9,1017.6,14.9,14.1,95,3.4,90,8.4,80,0.0,0.0,0.0,0
2024-03-02,20,1014.6,1018.2,15.5,14.5,94,4.1,80,9.2,80,0.0,0.0,0.0,0
2024-03-02,21,1014.4,1018.0,15.7,15.1,96,3.5,90,9.2,70,0.0,0.0,0.0,0
2024-03-02,22,1013.8,1017.4,15.7,15.2,97,3.8,100,9.3,100,0.0,0.0,0.0,0
2024-03-02,23,1013.2,1016.8,16.0,15.4,96,2.9,90,11.1,100,0.0,0.0,0.0,0
2024-03-02,24,1013.2,1016.8,16.4,15.6,95,2.7,90,6.8,60,0.0,0.0,0.0,0
2024-03-03,1,1012.8,1016.4,15.7,15.2,97,1.3,200,4.7,70,0.0,0.0,0.0,0
2024-03-03,2,1012.7,1016.3,15.0,14.7,98,1.4,210,2.5,230,0.0,0.0,0.0,0
2024-03-03,3,1012.7,1016.4,14.4,14.1,98,0.4,160,2.5,180,0.0,0.0,0.0,0
2024-03-03,4,1013.1,1016.8,13.9,13.6,98,0.9,180,1.9,250,0.0,0.0,0.0,0
2024-03-03,5,1013.0,1016.7,13.7,13.4,98,0.9,200,2.1,230,0.0,0.0,0.0,0
2024-03-03,6,1013.1,1016.8,13.3,13.0,98,0.5,170,1.6,140,0.0,0.0,0.0,0
2024-03-03,7,1013.3,1017.0,14.0,13.7,98,1.2,220,2.0,120,0.0,0.0,0.1,0
