sno,sna,sarea,latitude,longitude,ar,sareaen,aren,act,total
500101005,YouBike2.0_辛亥復興路口西北側,大安區,25.02153,121.54299,復興南路二段368號,Daan Dist.,No. 368， Sec. 2， Fuxing S. Rd.,1,16.0
500101008,YouBike2.0_新生南路三段52號前,大安區,25.02112,121.53407,新生南路三段52號,Daan Dist.,No. 52， Sec. 3， Xinsheng S. Rd.,1,17.0
500101009,YouBike2.0_新生南路三段66號前,大安區,25.01976,121.53384,新生南路三段66號東側,Daan Dist.,No. 66， Sec. 3， Xinsheng S. Rd. (East),1,16.0
500101010,YouBike2.0_新生南路三段82號前,大安區,25.01894,121.53361,新生南路三段82號,Daan Dist.,No. 82， Sec. 3， Xinsheng S. Rd.,1,20.0
500101021,YouBike2.0_銘傳國小側門,大安區,25.01385,121.53549,羅斯福路四段21號旁天橋下,Daan Dist.,No. 21， Sec. 4， Roosevelt Rd.,1,7.0
500101022,YouBike2.0_捷運公館站(2號出口),大安區,25.01491,121.53438,捷運公館站(2號出口)外側,Daan Dist.,MRT Gongguan Sta. (Exit 2),1,99.0
500101023,YouBike2.0_第二學生活動中心,大安區,25.01244,121.53661,羅斯福路四段107號(西南側),Daan Dist.,No. 107， Sec. 4， Roosevelt Rd.(Southwest),1,25.0
500101024,YouBike2.0_臺灣科技大學正門,大安區,25.01451,121.54142,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),Daan Dist.,No. 43， Sec. 4， Keelung Rd.,1,50.0
500101025,YouBike2.0_臺灣科技大學側門,大安區,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,Ln. 73， Sec. 4， Keelung Rd. Intersection,1,99.0
500101031,YouBike2.0_臺大男七舍前,大安區,25.01537,121.54698,長興街/長興街80巷口西側,Daan Dist.,Ln. 80， Changxing St. Intersection(West),1,20.0
500101032,YouBike2.0_臺大男一舍前,大安區,25.01637,121.54535,長興街50號西北側,Daan Dist.,No. 50， Changxing St.(Northwest),1,61.0
500101033,YouBike2.0_臺大男六舍前,大安區,25.01664,121.5452,大安區長興街31號,Daan Dist.,No. 31， Changxing St.,1,46.0
500101034,YouBike2.0_臺大動物醫院前,大安區,25.01576,121.54291,基隆路三段155巷/基隆路四段口,Daan Dist.,Ln. 155， Sec. 3， Keelung Rd. Intersection,1,18.0
500101036,YouBike2.0_臺大萬才館前,大安區,25.02032,121.54497,臺大萬才館北側,Daan Dist.,NTU Wan Tsai Research Hall,1,20.0
500101037,YouBike2.0_臺大國青大樓宿舍前,大安區,25.02076,121.54432,辛亥路三段30號西北側,Daan Dist.,No. 30， Sec. 3， Xinhai Rd.(Northwest),1,20.0
500101038,YouBike2.0_臺大社科院圖書館前,大安區,25.02101,121.54284,辛亥路與復興南路口西南側,Daan Dist.,Xinhai Fuxing Rd. Intersection (Southwest),1,27.0
500101039,YouBike2.0_臺大法人語言訓練中心前,大安區,25.02104,121.54081,臺大法人語言訓練中心北側,Daan Dist.,NTU Language Training & Testing Center(North),1,28.0
500101040,YouBike2.0_臺大綜合體育館停車場前,大安區,25.0222,121.53626,臺大綜合體育館北側,Daan Dist.,NTU Sports Center(North),1,25.0
