station,date,hour,borrow_count,return_count,station_pressure,temperature,humidity,wind_speed,max_wind_speed,rainfall,rain_duration,solar_radiation,uv_index,total,is_holiday_taipei,is_peak_morning,is_peak_evening,is_peak_any,is_peak_noon,night,net_borrow
捷運公館站(2號出口),2024-03-01,0,15,5,1018.2,12.5,97,1.6,4.1,0,0.8,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,1,10
捷運公館站(2號出口),2024-03-01,1,2,0,1020.6,11,92,1.7,5.9,0.5,0.6,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
捷運公館站(2號出口),2024-03-01,2,1,1,1020.4,11.2,94,1.7,6.1,0,0.2,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,1,0
捷運公館站(2號出口),2024-03-01,3,1,0,1020.2,11.2,95,1.5,5.6,0,0.7,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
捷運公館站(2號出口),2024-03-01,4,1,0,1020.5,11.1,96,1.6,5,0.5,1,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
捷運公館站(2號出口),2024-03-01,5,1,1,1020.1,10.8,95,1.9,6.7,0.5,0.8,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,1,0
捷運公館站(2號出口),2024-03-01,6,20,9,1019.4,10.9,95,2.5,7.1,0,0.3,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,11
捷運公館站(2號出口),2024-03-01,7,51,32,1019.8,11.1,95,3,8.2,0,0.1,0.01,0,99,FALSE,TRUE,FALSE,TRUE,FALSE,0,19
捷運公館站(2號出口),2024-03-01,8,67,41,1020.2,11.5,92,2.9,8.1,0,0.1,0.05,0,99,FALSE,TRUE,FALSE,TRUE,FALSE,0,26
捷運公館站(2號出口),2024-03-01,9,20,28,1020.4,11.9,95,2.8,7.2,0,1,0.1,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-8
捷運公館站(2號出口),2024-03-01,10,15,31,1020.5,12,96,1.7,7.1,1.0,1,0.18,1,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-16
捷運公館站(2號出口),2024-03-01,11,37,37,1020.3,12,97,2.2,5.8,1.0,1,0.35,1,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
捷運公館站(2號出口),2024-03-01,12,27,50,1018.7,12,92,3.5,7.8,0,1,0.55,2,99,FALSE,FALSE,FALSE,FALSE,TRUE,0,-23
捷運公館站(2號出口),2024-03-01,13,58,38,1017.8,12.3,95,2.4,7.4,0,1,0.33,1,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,20
捷運公館站(2號出口),2024-03-01,14,40,44,1016.8,12,97,2.3,7.6,0.5,1,0.21,1,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-4
捷運公館站(2號出口),2024-03-01,15,29,47,1016.4,12.2,96,2.6,6.4,0,1,0.24,1,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-18
捷運公館站(2號出口),2024-03-01,16,22,55,1016.7,12.2,97,1.9,5.9,0.5,1,0.15,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-33
捷運公館站(2號出口),2024-03-01,17,20,76,1017.1,12.2,98,1.7,5.4,1.0,1,0.05,0,99,FALSE,FALSE,TRUE,TRUE,FALSE,0,-56
捷運公館站(2號出口),2024-03-01,18,15,48,1017.4,12.4,96,2.3,5.6,0,1,0.01,0,99,FALSE,FALSE,TRUE,TRUE,FALSE,0,-33
捷運公館站(2號出口),2024-03-01,19,21,28,1017.8,12.3,97,1.8,7.3,1.0,0.9,0,0,99,FALSE,FALSE,TRUE,TRUE,FALSE,0,-7
捷運公館站(2號出口),2024-03-01,20,13,26,1018.5,12.4,98,1.3,6.5,0.5,0.8,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-13
捷運公館站(2號出口),2024-03-01,21,18,25,1018.5,12.3,97,1.7,4.9,0,0.6,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-7
捷運公館站(2號出口),2024-03-01,22,15,16,1018.5,12.4,97,1.4,4.8,0.5,0.3,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,-1
捷運公館站(2號出口),2024-03-01,23,21,8,1018.6,12.6,97,1.8,3.8,0,0.3,0,0,99,FALSE,FALSE,FALSE,FALSE,FALSE,1,13
捷運公館站(2號出口),2024-03-02,0,9,4,1013.2,16.4,95,2.7,6.8,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,5
捷運公館站(2號出口),2024-03-02,1,0,1,1017.8,12.6,97,1.3,3.9,0,0.3,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1
捷運公館站(2號出口),2024-03-02,2,1,0,1017.6,12.6,97,1.5,4.1,0,0.2,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
捷運公館站(2號出口),2024-03-02,5,0,4,1017.4,12.5,94,2.1,6.7,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,-4
捷運公館站(2號出口),2024-03-02,6,10,10,1017.5,12.4,95,2.2,7.5,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,0
捷運公館站(2號出口),2024-03-02,7,9,26,1017.2,12.6,94,3.7,8.3,0.0,0,0.08,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-17
捷運公館站(2號出口),2024-03-02,8,47,52,1017.6,13.4,89,3,8.3,0.0,0,0.38,0,99,TRUE,TRUE,FALSE,TRUE,FALSE,0,-5
捷運公館站(2號出口),2024-03-02,9,23,45,1017.2,14.9,82,4.1,9.7,0.0,0,1.32,2,99,TRUE,TRUE,FALSE,TRUE,FALSE,0,-22
捷運公館站(2號出口),2024-03-02,10,16,29,1017.3,15,81,3.4,10.6,0.0,0,1.1,2,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-13
捷運公館站(2號出口),2024-03-02,11,11,17,1017.3,14.9,82,3.3,10.4,0.0,0,0.44,1,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-6
捷運公館站(2號出口),2024-03-02,12,40,57,1016.7,15.1,82,3.2,9.4,0.0,0,0.32,1,99,TRUE,FALSE,FALSE,FALSE,TRUE,0,-17
捷運公館站(2號出口),2024-03-02,13,21,29,1015.9,14.7,87,3.2,10.6,0,0.3,0.36,1,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-8
捷運公館站(2號出口),2024-03-02,14,16,30,1015.3,14.1,94,2.7,7.7,0,1,0.24,1,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-14
捷運公館站(2號出口),2024-03-02,15,16,26,1014.9,14.2,95,2.2,7.4,0,1,0.18,1,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-10
捷運公館站(2號出口),2024-03-02,16,22,25,1014.3,14.8,92,2.7,7.8,0,0.5,0.49,1,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-3
捷運公館站(2號出口),2024-03-02,17,41,63,1014.3,14.9,93,2.6,8.4,0.0,0,0.41,1,99,TRUE,FALSE,TRUE,TRUE,FALSE,0,-22
捷運公館站(2號出口),2024-03-02,18,36,36,1014.1,14.9,94,3.4,9.2,0.0,0,0.09,0,99,TRUE,FALSE,TRUE,TRUE,FALSE,0,0
捷運公館站(2號出口),2024-03-02,19,28,18,1013.9,14.9,95,3.4,8.4,0.0,0,0,0,99,TRUE,FALSE,TRUE,TRUE,FALSE,0,10
捷運公館站(2號出口),2024-03-02,20,23,16,1014.6,15.5,94,4.1,9.2,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,7
捷運公館站(2號出口),2024-03-02,21,29,21,1014.4,15.7,96,3.5,9.2,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,8
捷運公館站(2號出口),2024-03-02,22,32,24,1013.8,15.7,97,3.8,9.3,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,8
捷運公館站(2號出口),2024-03-02,23,18,22,1013.2,16,96,2.9,11.1,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,-4
捷運公館站(2號出口),2024-03-03,0,15,1,1009.2,18.7,92,0.7,1.8,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,14
捷運公館站(2號出口),2024-03-03,1,4,2,1012.8,15.7,97,1.3,4.7,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,2
捷運公館站(2號出口),2024-03-03,2,2,0,1012.7,15,98,1.4,2.5,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,2
捷運公館站(2號出口),2024-03-03,3,1,1,1012.7,14.4,98,0.4,2.5,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,0
捷運公館站(2號出口),2024-03-03,4,1,0,1013.1,13.9,98,0.9,1.9,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
捷運公館站(2號出口),2024-03-03,5,2,0,1013,13.7,98,0.9,2.1,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,1,2
捷運公館站(2號出口),2024-03-03,6,10,8,1013.1,13.3,98,0.5,1.6,0.0,0,0,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,2
捷運公館站(2號出口),2024-03-03,7,15,21,1013.3,14,98,1.2,2,0.0,0,0.1,0,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-6
捷運公館站(2號出口),2024-03-03,8,44,27,1013,15.7,94,1.5,2.7,0.0,0,0.6,0,99,TRUE,TRUE,FALSE,TRUE,FALSE,0,17
捷運公館站(2號出口),2024-03-03,9,34,54,1012.6,18.1,82,0.6,2.4,0.0,0,1.33,2,99,TRUE,TRUE,FALSE,TRUE,FALSE,0,-20
捷運公館站(2號出口),2024-03-03,10,39,56,1012.5,20.7,72,1,4.3,0.0,0,2.06,4,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-17
捷運公館站(2號出口),2024-03-03,11,34,43,1012.3,21.5,73,2.7,6.7,0.0,0,2.61,6,99,TRUE,FALSE,FALSE,FALSE,FALSE,0,-9
捷運公館站(2號出口),2024-03-03,12,63,65,1011.9,20.4,77,3.1,8.2,0.0,0,2.24,6,99,TRUE,FALSE,FALSE,FALSE,TRUE,0,-2
